,player_id,team_id,team_tx,pos_tx,elo,teamID,nameFirst,nameLast,score
312,jimec002,PHI,PHI,P,1567.0901061278225,PHI,Cesar,Jimenez,25.9
313,horsj001,PHI,PHI,P,1583.4429721172883,PHI,Jeremy,Horst,22.2
314,hamec001,PHI,PHI,P,2576.7439804227274,PHI,Cole,Hamels,283.25
315,hallr001,PHI,PHI,P,1700.8138578636156,PHI,Roy,Halladay,34.65
316,garcl005,PHI,PHI,P,1607.3522728244732,PHI,Luis,Garcia,46.6
317,durbc001,PHI,PHI,P,1554.1405712189044,PHI,Chad,Durbin,15.2
318,diekj001,PHI,PHI,P,1670.0354676536278,PHI,Jake,Diekman,74.5
319,defrj001,PHI,PHI,P,1705.04603917076,PHI,Justin,De Fratus,87.0
320,cloyt001,PHI,PHI,P,1682.8785662614098,PHI,Tyler,Cloyd,11.9
321,basta001,PHI,PHI,P,1684.020075251265,PHI,Antonio,Bastardo,110.2
322,aumop001,PHI,PHI,P,1557.070905788819,PHI,Phillippe,Aumont,26.2
323,adamm001,PHI,PHI,P,1596.278244547894,PHI,Mike,Adams,33.0
324,strad003,OAK,OAK,P,2306.585420307441,OAK,Dan,Straily,194.3
325,scrie001,OAK,OAK,P,1611.5432246980795,OAK,Evan,Scribner,34.0
326,resoc001,OAK,OAK,P,1565.3688917373913,OAK,Chris,Resop,19.6
327,parkj001,OAK,OAK,P,2566.4762927622137,OAK,Jarrod,Parker,229.15
328,oterd001,OAK,OAK,P,1701.5586298748208,OAK,Dan,Otero,86.3
329,okajh001,OAK,OAK,P,1517.9807263663658,OAK,Hideki,Okajima,6.3
330,neshp001,OAK,OAK,P,1672.5204636410779,OAK,Pat,Neshek,73.9
331,milot001,OAK,OAK,P,2304.30380094137,OAK,Tommy,Milone,196.35
332,grifa002,OAK,OAK,P,2540.495203245178,OAK,A. J.,Griffin,273.75
333,figup001,OAK,OAK,P,1508.305697682243,OAK,Pedro,Figueroa,1.1
334,dools001,OAK,OAK,P,1862.977170476919,OAK,Sean,Doolittle,135.8
335,grays001,OAK,OAK,P,1888.6288349577846,OAK,Sonny,Gray,118.8
336,cookr001,OAK,OAK,P,1847.729279551901,OAK,Ryan,Cook,159.3
337,colob001,OAK,OAK,P,2499.8217156846667,OAK,Bartolo,Colon,298.65
